model,seed,fold_id,train_rmse,test_rmse,train_r2,test_r2
BRT,32,2,3.723495520683389,16.647631323442457,0.9951597277848002,0.9319173269875228
BRT,32,3,4.389690998788004,6.0801348541985005,0.9939897448718557,0.9864321380251736
BRT,32,4,5.456125993843167,4.608782443236117,0.9907427387711987,0.9920594507826479
BRT,32,5,4.495121953907311,6.020636740857543,0.9935463375643934,0.9880190303985205
CatBoost,42,1,2.35726599185116,5.554606318064786,0.9981701933680572,0.9909180706231845
CatBoost,42,2,2.188746076318287,6.111326363395463,0.9984388866009519,0.9885934347634445
CatBoost,42,3,2.383937363025947,3.773565142136595,0.9981900764989096,0.9952319914588104
CatBoost,42,4,2.3010474817627986,6.434833367046912,0.9982718558733126,0.9874332216310149
CatBoost,42,5,2.520975052787041,4.747903895234232,0.9980386748341141,0.9912829004187651
XGBoost,42,1,1.4143550087969976,6.154821153841246,0.9993412738845956,0.9888492923829149
XGBoost,42,2,1.2930577324931172,6.5647678806987395,0.9994551467802967,0.9868379758231198
XGBoost,42,3,1.465822411814675,3.766927907625848,0.9993157209342513,0.9952487493832674
XGBoost,42,4,1.1605425877709141,6.7349898728079225,0.9995604068025591,0.9862335094937212
XGBoost,42,5,1.362613305876276,6.36047922665711,0.9994269958651867,0.9843559986354458
LGBM,42,1,3.2887700476308677,5.982955048343297,0.9964383188907328,0.9894633383938382
LGBM,42,2,3.1735832950891254,7.371967162212882,0.9967179628461402,0.9834021926774809
LGBM,42,3,3.048268648672781,4.6794150238075485,0.9970407816088817,0.9926681013696811
LGBM,42,4,3.1085410857680955,9.084029397642096,0.9968461428208314,0.9749558435830432
LGBM,42,5,2.920661800958648,6.733348791683329,0.9973674595920244,0.9824680432094771
RFR,42,1,2.4497562867873914,6.523622105106674,0.9980237868826628,0.9874729403878962
RFR,42,2,2.8226807900326985,7.205464464469181,0.9974036261554174,0.9841434794015741
RFR,42,3,2.49030330203212,3.762998281851348,0.9980249639485562,0.9952586571377139
RFR,42,4,3.0952885493760336,9.260499204535698,0.9968729769599805,0.9739733577150922
RFR,42,5,2.368257484279528,5.726561705631265,0.9982691065209117,0.9873189253957634
GBR,42,1,5.280359076652383,7.596148747974053,0.9908184727173588,0.9830152767903044
GBR,42,2,5.185230752794858,7.74393015863144,0.9912384717340059,0.9816850056242203
GBR,42,3,5.178747489279033,6.179118644238613,0.9914587779985448,0.9872154222141359
GBR,42,4,4.95007417977786,8.438183106214387,0.9920025374838127,0.9783903747255991
GBR,42,5,5.147959626065574,8.048783291168773,0.9918213284178606,0.9749487940774956
BRT,42,1,4.864154255215376,5.949876644279529,0.9922088297566908,0.9895795259496862
BRT,42,2,5.2473662877244305,10.37964244973235,0.9910272317310836,0.9670959980904705
BRT,42,3,4.7398894895068535,4.329533850359644,0.9928450439398886,0.9937235279280315
BRT,42,4,6.164775184610375,11.985782971043518,0.9875959563480279,0.9564004341526858
